name,status,enabled_by_default
Array.prototype.copyWithin,Supported,true
Array.prototype.includes,Supported,true
Arrow Functions,Supported,true
Async Iteration,Supported,true
BigInt,Supported,true
Block Scoping,Supported,true
Classes,Supported,true
Default Parameter Values,Supported,true
Destructuring Syntax,Supported,true
Exponentiation Syntax,Supported,true
Generators,Supported,true
Map Data Structure,Supported,true
Modules,Supported,true
Number Object Extensions,Supported,true
Object rest/spread,Supported,true
Octal and Binary Literals,Supported,true
Promise Objects,Supported,true
Proxy Objects,Supported,
Reflect API,Supported,true
Rest Parameter,Supported,true
Set Data Structure,Supported,true
Symbol Objects,Supported,true
Tagged Templates,Supported,true
Tail Calls,Supported,true
Template Literals,Supported,true
WeakMap,Supported,true
WeakSet,Supported,true
async/await,Supported,true
for...of Loops,Supported,true
new.target,Supported,true
Temporal,In Development,